Title,Author,Description,Genres,Rating,Rating-count
It Ends With Us,Colleen Hoover,"Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town where she grew up—she graduated from college, moved to Boston, and started her own business. And when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily’s life seems too good to be true.Ryle is assertive, stubborn, maybe even a little arrogant. He’s also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn’t hurt. Lily can’t get him out of her head. But Ryle’s complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his “no dating” rule, she can’t help but wonder what made him that way in the first place.As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan—her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened.With this bold and deeply personal novel, It Ends With Us is a heart-wrenching story and an unforgettable tale of love that comes at the ultimate price.Read more","['Fiction, Romance, Contemporary, Life change events', 'Triangles (Interpersonal relations)', 'Man-woman relationships', 'Neurosurgeons', 'First loves', 'Businesswomen', 'Fiction', 'Contemporary Women', 'New York Times bestseller', 'Fiction, romance, contemporary', 'Man-woman relationships, fiction', 'Fiction, women', 'collectionid:nyt2020s']",4.29,818
The Subtle Art of Not Giving a Fuck,Mark Manson,"Read This Book ➸ https://strangerthings.fandom.com/wiki/Amazon_Books_Free   This breakout, mega bestseller is the self-help book for people who hate self-help. It’s as much a pat on the back as a slap in the face. It’s the first truly no BS guide to flourishing in a crazy, crazy world—a truly counterintuitive approach to living a good life.Read more","['Self-realization', 'Conduct of life', 'Conducta de vida', 'nyt:advice-how-to-and-miscellaneous=2016-10-02', 'New York Times bestseller']",4.11,536
Atomic Habits,James Clear,"No matter your goals, Atomic Habits offers a proven framework for improving every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.Read more","['Habit', 'Habit breaking', 'Behavior modification', 'Self-actualization (psychology)', 'Business', 'psychology', 'Personal Growth', 'New York Times bestseller', 'BUSINESS & ECONOMICS / Organizational Behavior', 'PSYCHOLOGY / Social Psychology', 'SELF-HELP / Personal Growth / General.']",4.25,451
The 48 laws of power,Robert Greene,"Amoral, cunning, ruthless, and instructive, this multi-million-copy New York Times bestseller is the definitive manual for anyone interested in gaining, observing, or defending against ultimate control – from the author of The Laws of Human Nature.Read more","['Business', 'Control (Psychology)', 'Contrôle (Psychologie)', 'Pouvoir (Morale)', 'Nonfiction', 'Power (Philosophy)', 'Self-Improvement', 'Conduct of life', 'Contrãole (Psychologie', 'Political Science', 'Abridged Audio - Misc. Nonfiction', 'Politics/International Relations', 'History & Theory - General', 'Political Science / History & Theory', 'Audiobooks', 'Political science & theory', 'Psychology', 'Contrôle (Psychologie.)', 'Pouvoir (Morale.)', 'BUSINESS & ECONOMICS', 'Leadership', 'Motivational', 'SELF-HELP', 'Personal Growth', 'Success', 'Macht', 'Nutzung', 'Gesellschaft', 'Zwischenmenschliche Beziehung', 'Power (Social sciences)', 'Power (Psychology)', 'Power (social sciences)', 'Control (psychology)', 'Control (Philosophy)', 'poder', 'influência', 'manipulação', 'liderança', 'ambição', 'jogo', 'persuasão']",4.21,496
"Rich dad, poor dad",Robert T. Kiyosaki,"Argues that a good education and a secure job are not guarantees for financial success, and describes six guidelines for making money work for oneself.Read more","['Rich people', 'Personal Finance', 'Investments', 'Finanzas personales', 'Inversiones', 'Ricos', 'Riqueza', 'Financial security', 'Success', 'Financiering', 'Huishoudingen', 'Finance, personal', 'Hacienda privada', 'Spanish language materials']",4.11,427
It Starts With Us,Colleen Hoover,"Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favorite Atlas’s side of the story and shares what comes next in this long-anticipated sequel to the “glorious and touching” (USA TODAY) #1 New York Times bestseller It Ends with Us.Switching between the perspectives of Lily and Atlas, It Starts with Us picks up right where the epilogue for the “gripping, pulse-pounding” (Sarah Pekkanen, author of Perfect Neighbors) bestselling phenomenon It Ends with Us left off. Revealing more about Atlas’s past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband, it proves that “no one delivers an emotional read like Colleen Hoover” (Anna Todd, New York Times bestselling author).Read more","['Contemporary', 'Romance', 'Friendship', 'Fiction', 'Young Adult Fiction', 'collectionid:nyt2020s']",4.04,254
Harry Potter and the Sorcerer's Stone,J. K. Rowling,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Wizards and WitchesRead more","['Ghosts', 'Monsters', 'Vampires', 'Witches', 'Challenges and Overcoming Obstacles', 'Magic and Supernatural', 'Cleverness', 'School Life', 'school stories', 'Wizards', 'Magic', 'MAGIA', 'MAGOS', 'Juvenile fiction', 'Fiction', 'NOVELAS INGLESAS', 'Schools', 'orphans', 'fantasy fiction', 'England in fiction', 'Witches in fiction', 'Wizards in fiction', 'Alchemy', 'New York Times bestseller', 'Juvenile literature', 'Magic in fiction', 'Open Library Staff Picks', 'Juvenile audience', ""Children's stories"", 'Juvenile works', 'Schools in fiction', 'Fantasy', 'Hogwarts School of Witchcraft and Wizardry (Imaginary place)', 'Harry Potter (Fictitious character)', 'Ficción juvenil', 'Escuelas', 'Hogwarts School of Witchcraft and Wizardry (Imaginary organization)', 'Translations from English', 'Chinese fiction', 'Hermione Granger (Fictitious character)', 'Reading Level-Grade 9', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Hogwarts school of witchcraft and wizardry (imaginary organization), fiction', ""Children's fiction"", 'Schools, fiction', 'England, fiction', 'Potter, harry (fictitious character), fiction', 'Wizards, fiction', 'Magic, fiction', 'Fiction, fantasy, general', 'Large type books', 'Magier', 'Fabeltiere', 'Lehrling', 'Kinderbuch', 'Stein der Weisen', 'Ungeheuer', 'Junge', 'English language', 'Translating into Welsh', 'Modern history to 20th century: c 1700 to c 1900', 'Literary theory', 'English literature', 'Ron Weasley (Fictitious character)', 'Latin language materials', 'Romans, nouvelles, etc. pour la jeunesse', 'Poudlard, école de sorcellerie (Organisation imaginaire)', 'Sorciers', 'Sorcières', 'Magie', 'Internats', 'Adventure and adventurers, fiction', 'Action & Adventure', 'Fantasy & Magic', 'Social Themes', 'Friendship', 'Harry Potter (Fictional character)', 'Friendship, fiction', 'German language materials', 'Witchcraft, fiction', 'Wizard', 'NOVELAS FANTÁSTICAS', 'NOVELAS JUVENILES INGLESAS', 'LITERATURA JUVENIL ESTADOUNIDENSE', 'Écoles', 'Hechicería', 'Novela juvenil', 'Ingleterra', 'Mystery', 'roman', 'English Fantasy literature', 'Translations into Marathi', 'Fantasy fiction']",4.27,606
Latidos Que No Dije,Roos,"""Latidos que no dije"" es una novela que sigue la vida de Leire, una joven que atraviesa un momento difícil después de romper con su novio. Decidida a empezar de nuevo, se muda a Madrid en busca de una nueva vida y oportunidades para redescubrirse a sí misma.A lo largo de la historia, la narrativa se desarrolla a través del diario personal de Leire, donde comparte sus pensamientos más íntimos y sentimientos mientras intenta superar el dolor de su ruptura. En este diario, el lector se sumerge en sus emociones, sus luchas internas y sus reflexiones más profundas sobre la vida y el amor.En Madrid, Leire encuentra un entorno lleno de posibilidades y conoce a diversas personas que la acompañan en su viaje de autodescubrimiento. Estas nuevas conexiones y experiencias la ayudan a entenderse mejor y a explorar su identidad, enfrentándose a sus propios miedos y deseos.A medida que Leire se sumerge en esta nueva vida y se relaciona con diferentes personas, descubre que el amor verdadero puede ser más complejo y desafiante de lo que pensaba. La novela explora las complejidades de las relaciones humanas, mostrando cómo el amor puede ser un camino de descubrimiento personal y transformación.""Latidos que no dije"" es una historia emocionalmente cargada, llena de reflexiones profundas sobre el amor, la identidad y la superación personal. A través de las palabras de Leire, el lector es llevado en un viaje íntimo y conmovedor que explora los altibajos de las emociones humanas y la importancia de ser auténtico con uno mismo.Reseña ofrecida por somoslibros.netRead more","['Soul', 'Heart']",4.36,474
Um casamento arranjado,Zana Kheiron,Uma historia de uma familia falida q faz acordo com outra familia rica e sua filha mais velha e cedida em troca. O filho da família rica teve um acidente de avião que queimou 50% do seu corpo e casa c essa linda moca e se apaixonamRead more,[],4.14,440
Think and grow rich,Napoleon Hill,"THE WORKBOOK UNLOCKS THE SECRETS HIDDEN BETWEEN THE LINES    Napoleon Hill was quoted as saying, “You can’t really get Think and Grow Rich by reading it just once. There is just as much written between the lines as there is written in the lines themselves.” Now Think and Grow Rich: The 21st-Century Edition Workbook will show you how to get the most out of Hill’s classic success book the very first time you read it. This workbook is designed to guide you through Think and Grow Rich and explain it so clearly that when you come to the last page you will know the book better than most devoted students who have read it many times over.    KEYED TO THE FORMAT OF THE BOOK    Following the format of Think and Grow Rich, this work- book breaks down each of Napoleon Hill’s principles, fills in the background, takes you step-by-step through his arguments, and explains how and why Hill arrived at his theories. In addition to a detailed overview of Think and Grow Rich, this workbook also features: chapter outlines, updated examples, new research breakdowns and summaries of all key concepts action guides and self-tests    YOUR OWN PRIVATE TUTOR    It’s like having your own personal instructor leading you through the book, explaining how to read each chapter so that you see clearly, learn quickly, and understand completely. The result is an extremely practical program created specifically to make Think and Grow Rich the most important book you have ever read.Read more","['Business', 'Exito en los negocios', 'Finance', 'Management', 'New Age', 'Nonfiction', 'Self-Improvement', 'Study Aids & Workbooks', 'Success', 'Success in business', 'Wealth', 'Éxito', 'Carnegie, andrew, 1835-1919', 'Success in businness', 'Commerce', 'Government business enterprises', 'Government executives', 'Salaries', 'Self-help techniques', 'New thought', 'Personal Finance', 'SELF-HELP / Personal Growth / Success', 'Succès dans les affaires']",4.13,262
